trajectory_id,case_id,nfp,n_base_coils,initial_score,initial_iota,initial_sign,best_score,best_iteration,best_iota,best_sign,final_score,final_iota,final_sign,trajectory_pattern,history_count
axisv3_case_03462,3462,8,1,7.966842665408568,-1.1286264358962823,negative,61.81627210535004,159,-1.0547923119071156,negative,60.39977707879981,-1.2122706770896912,negative,all_negative,200
axisv3_case_01916,1916,8,3,4.274885492936675,-0.8189330491021092,negative,67.0251793266478,50,-1.0178970311628746,negative,64.86476551178372,-1.1265390031039715,negative,all_negative,200
axisv3_case_01718,1718,6,1,3.736494768251066,-0.9699453513948579,negative,4.920867299736303,1,-1.122907354027168,negative,4.382556947259717,-1.3008053302764893,negative,all_negative,200
axisv3_case_02194,2194,7,2,5.755189667323987,-1.577244365484312,negative,65.35510916089241,163,-1.0348279123427546,negative,63.859706750418624,-1.0416972786188126,negative,all_negative,200
axisv3_case_01844,1844,7,4,14.416748732249856,-0.673476153874579,negative,65.79771836968338,126,-1.0349499893071514,negative,65.16448376721817,-1.0481945872306824,negative,all_negative,200
axisv3_case_03123,3123,7,1,3.4716019134373983,-0.6475514287117773,negative,62.03729502500498,126,-1.1302462534606403,negative,58.779772785737734,-1.3094443082809448,negative,all_negative,200
axisv3_case_02226,2226,6,3,8.178460201653879,-0.6428989532164787,negative,66.55437168120466,173,-1.0336572933629722,negative,66.20675621388804,-1.13384610414505,negative,all_negative,200
axisv3_case_00502,502,5,2,2.019895304863716,-0.4645210877498679,negative,65.56096757645837,188,-1.0146951053367688,negative,65.48797194231632,-1.0315883457660675,negative,all_negative,200
axisv3_case_03305,3305,7,1,7.604867309446904,-1.1622229186653215,negative,11.398122161982707,152,-0.9532623448055415,negative,11.39812216198262,-0.9682388156652451,negative,all_negative,200
axisv3_case_01562,1562,6,1,6.944665214680164,-1.1174817328445317,negative,64.64745060910896,132,-1.0428408798539328,negative,64.15601719778411,-1.2525570392608643,negative,all_negative,200
axisv3_case_02766,2766,7,2,9.083991823589754,-0.5993014444572142,negative,65.70143055001971,179,-1.05305763432741,negative,65.46852284800211,-1.0307705774903297,negative,all_negative,200
axisv3_case_03560,3560,7,4,5.1082127025937565,-0.8178886423777232,negative,65.89343264029576,192,-1.0405921233087985,negative,65.29910324077858,-1.069963812828064,negative,all_negative,200
axisv3_case_02500,2500,8,1,6.775954415635422,-1.6919887514941596,negative,64.07961613466927,187,-1.0271156687899032,negative,63.918741558780226,-1.1006233447004137,negative,all_negative,200
axisv3_case_01707,1707,7,3,4.603708915734168,-0.5805457950078698,negative,66.39782462932243,129,-1.0387814625859335,negative,66.04062042745302,-1.0346576124429703,negative,all_negative,200
axisv3_case_02894,2894,5,2,4.703608663361584,-0.9025210936308375,negative,42.774332101326095,67,-1.166923569482424,negative,42.77433210132576,-1.3369491696357727,negative,all_negative,200
axisv3_case_00452,452,7,2,3.363323997330234,-0.704562627643822,negative,66.61039010845141,116,-1.0183859559274246,negative,66.07283940202572,-1.0520407781004906,negative,all_negative,200
axisv3_case_00627,627,7,1,4.331628766061131,-0.8751411553498027,negative,8.822302858189175,58,-1.027280749429782,negative,8.822302858189161,-1.0330358762294054,negative,all_negative,200
axisv3_case_00602,602,8,1,6.40097535412918,-1.6253809524610592,negative,9.723087878596857,146,-1.0110201145980615,negative,9.723087878596761,-1.0450299829244614,negative,all_negative,200
axisv3_case_02566,2566,8,3,10.601502972561851,-0.5245163918591504,negative,65.7972581030691,145,-1.1493932780970129,negative,65.64350224880495,-1.1471021175384521,negative,all_negative,200
axisv3_case_00449,449,4,2,1.9898847904787955,-0.6216368982830607,negative,2.4711651079649757,2,-0.8090584019318902,negative,2.1399489148717943,-1.015045166015625,negative,all_negative,200
axisv3_case_02442,2442,7,4,13.217778386260655,-0.7123836572915692,negative,65.30245196392922,178,-1.0376208910842624,negative,62.83581912982973,-1.030801147222519,negative,all_negative,200
axisv3_case_00367,367,7,1,5.63782200956257,-1.4566420775262072,negative,8.92805809520641,135,-0.9978316162999488,negative,8.928058095206357,-1.0203299224376678,negative,all_negative,200
axisv3_case_00758,758,8,1,4.779881831934876,-1.7067826941405468,negative,61.07084288561738,191,-1.05102829416329,negative,61.07084288561731,-1.0886222422122955,negative,all_negative,200
axisv3_case_01128,1128,7,2,9.831362165442645,-0.8689002471638021,negative,65.96344842711105,200,-1.0311348693354807,negative,65.96344842711105,-1.038289638027095,negative,all_negative,200
axisv3_case_03424,3424,8,3,35.74827329165398,-0.9284705012473893,negative,66.2775587395373,44,-1.1022072872555506,negative,65.79739201728157,-1.1186598014464835,negative,all_negative,200
axisv3_case_02474,2474,8,1,6.7674823852887185,-1.233262011622044,negative,63.48332259274676,196,-1.0450221846194974,negative,63.099665854693534,-1.0778116779248026,negative,all_negative,200
axisv3_case_02923,2923,8,2,5.820838775756339,-1.550840021225506,negative,66.2931386456463,62,-1.0273618796415613,negative,66.00670526519409,-1.0846537798643112,negative,all_negative,200
axisv3_case_00653,653,7,1,7.0745740067738,-1.1931692823531816,negative,61.513081581024224,91,-1.2237581305126672,negative,61.01516592096066,-1.5193763971328735,negative,all_negative,200
axisv3_case_00043,43,7,3,4.211416969701311,-0.596644186282099,negative,65.5314670235975,200,-1.1037833747069157,negative,65.5314670235975,-1.124035820364952,negative,all_negative,200
axisv3_case_02313,2313,8,4,23.59157851003396,-0.6340248316917663,negative,66.55397128153318,80,-1.0487946979922411,negative,65.04658741209501,-1.1238964945077896,negative,all_negative,200
axisv3_case_03312,3312,7,2,3.5687559885464837,-1.463153120302916,negative,9.545028771456495,75,-1.2286076577289868,negative,9.545028771456481,-1.4316413402557373,negative,all_negative,200
axisv3_case_02812,2812,8,1,7.3474719487033076,-1.519064480317521,negative,63.59824652569459,176,-1.0314066008890879,negative,63.42159536809233,-1.0396252934954364,negative,all_negative,200
axisv3_case_00706,706,8,1,8.370971421693923,-1.1732770278486249,negative,62.90265284133169,63,-1.2338450330271415,negative,58.03862284250852,-1.335604965686798,negative,all_negative,200
axisv3_case_00727,727,8,4,37.96346614955505,-0.8597823779549699,negative,66.36223413859706,31,-1.0603686007141533,negative,65.94102198338447,-1.1167632179172284,negative,all_negative,200
