case_id,variant,grid,baseline_score,candidate_score,score_delta,baseline_psi_angle_mean,baseline_psi_angle_p95,baseline_psi_angle_l2,candidate_psi_angle_mean,candidate_psi_angle_p95,candidate_psi_angle_l2,ratio_psi_angle_mean,ratio_psi_angle_p95,ratio_psi_angle_l2
1413822,psi_grid64,64,81.75643999584423,81.98994944170066,0.23350944585642708,3.798039041607672e-05,0.00012675469934662832,2.139272283740662e-05,3.8057261158436434e-05,0.00012736623664112213,2.1631757112882672e-05,1.0020239587196864,1.0048245729558434,1.0111736255965549
1551144,psi_grid64,64,68.67207563856931,68.64511719316859,-0.026958445400723008,1.26194989685801e-05,4.6544460652403795e-05,6.553226369004841e-06,1.2954055564028842e-05,4.765126203495354e-05,6.995436491096272e-06,1.0265110838617062,1.0237794437197454,1.0674797568695287
1566917,psi_grid64,64,78.72651138787836,78.72789656971653,0.0013851818381738212,2.4656312681116983e-05,8.701788848496467e-05,1.2747763877525588e-05,2.5281414362240145e-05,8.527288939031665e-05,1.4662110636373485e-05,1.0253526019566541,0.9799466624043683,1.1501711811765596
1571207,psi_grid64,64,92.24262498681705,92.20866315274884,-0.03396183406820796,6.196935165392273e-06,1.8772978703307998e-05,5.494737719972709e-06,7.411377394539893e-06,1.9958407556041972e-05,7.645981654892828e-06,1.195974654685732,1.063145485405845,1.3915098489779787
1626606,psi_grid64,64,84.72382849960721,84.69107858148962,-0.032749918117588095,0.00014645797223666334,0.000441743438938521,0.00011021224426714017,0.00014566739763972685,0.00044201484024966196,0.0001103834357559099,0.9946020378074129,1.000614386739491,1.0015532892003793
1633910,psi_grid64,64,85.11970185205104,85.11209163394446,-0.007610218106577804,3.334602296643486e-05,0.00011316347458356014,3.4085033605507045e-05,3.3395299048529424e-05,0.00011239262716758939,3.425941941530294e-05,1.001477719911132,0.9931881959368298,1.0051161988517952
1636749,psi_grid64,64,77.18544936341112,77.18253603551256,-0.002913327898568241,3.903583380099796e-05,0.00011373656667708884,3.717606029320396e-05,3.908458292165641e-05,0.00011228546323010254,3.7307003938901885e-05,1.001248830008524,0.9872415399076874,1.003522257190923
1645833,psi_grid64,64,74.09675303388553,74.08467784459775,-0.012075189287784838,2.3099648784045723e-05,0.00010256115392642337,1.2085951083702614e-05,2.3660976255302456e-05,0.00010206803196456065,1.2648331058800479e-05,1.0243002599954865,0.9951919226433774,1.0465317103472487
1673278,psi_grid64,64,79.9247113227724,79.87287341680067,-0.05183790597172333,1.3269155278649256e-05,4.8433113050493285e-05,7.994885828148008e-06,1.4281394501168807e-05,4.991843161040839e-05,9.745447817550555e-06,1.0762851290276403,1.030667418762998,1.2189602237019135
1673401,psi_grid64,64,80.3486016152444,80.33247919838331,-0.01612241686109428,1.3452089284953397e-05,5.278260019069795e-05,7.805553480267234e-06,1.4022854665479829e-05,5.3523394946523425e-05,8.58360723559477e-06,1.0424294968934567,1.0140348287721535,1.0996795111704107
