case_id,helicity,nfp,status,score,wall_s,metadata_qs_error,metadata_mean_iota,surface_level,inverse_aspect_ratio,iota,qs_global_error,qs_edge_error,flux_attempt_count
227844,0,3,ok,74.43341311519823,3.632206993177533,2.0217257030382404e-07,0.2,0.25,0.030651273475531978,0.21813809871673584,0.019374763416453406,0.024662406354719897,1
231466,0,3,ok,60.11182507747388,3.433492759242654,4.3027032041966174e-05,0.9,0.02,0.011506714363019524,0.7676834464073181,0.11619654837176277,0.11787652535049276,1
232760,0,3,ok,64.03363069829842,4.205158220604062,0.0002520300328500692,0.6,0.08,0.0204535054232894,0.5234031677246094,0.3826483661584071,0.4480965380120927,2
232996,0,3,ok,65.06241861041964,4.19869733043015,6.425883712413308e-07,0.7,0.08,0.020468302897776035,0.6161834597587585,0.060269051120129605,0.0787276523538744,1
233353,0,4,ok,70.52549287187021,2.3856087923049927,0.00010765744317166788,0.1,0.36,0.033180753254032795,0.09200599789619446,0.15209960387625052,0.14602616241990354,1
233573,0,4,ok,70.94780943056901,2.3493237905204296,0.0007023384164656654,0.1,0.36,0.03703824769345958,0.1323835551738739,0.16978203604213016,0.18546467937495995,1
233735,0,4,ok,69.75838613595306,2.3819326646625996,0.0006793515588159254,0.1,0.36,0.03958424435480305,0.18559758365154266,0.31126711928283707,0.319215729598583,1
234332,0,4,ok,74.7871585940657,2.381791504099965,1.27027722664306e-08,0.1,0.25,0.032446572407634766,0.13685759902000427,0.01080301052463474,0.013976579907462088,1
235991,0,4,ok,70.91455713513736,2.35501997359097,2.4165965255238207e-06,0.3,0.25,0.030117898866857673,0.31540995836257935,0.0516036431670996,0.057750247109045055,1
236602,0,4,ok,67.39597933072302,2.3971641957759857,0.0005557640975644324,0.4,0.25,0.030872670775104433,0.3921351432800293,0.332096646287965,0.3248431072054022,1
237203,0,4,ok,64.77096597648438,2.348515387624502,1.2982439512436295e-05,0.4,0.16,0.018144194970009825,0.1929170787334442,5.1967099278507085,5.216756449106301,3
238212,0,4,ok,62.84993308616901,2.38366355933249,0.00011965793138380284,0.5,0.04,0.016965086414731673,0.43327537178993225,0.22267212203915612,0.2237465362155244,1
238672,0,4,ok,66.3326310255346,2.3564109969884157,4.42810694581795e-05,0.6,0.16,0.023319232577270498,0.5343382954597473,0.20295599637733747,0.20577972414899826,2
238971,0,4,ok,64.08214885564323,2.381762158125639,0.005684684556004627,0.6,0.08,0.02126783403299724,0.5596777200698853,0.6670934471910323,0.6706632484141698,1
239951,0,4,ok,63.93458946815041,2.348600247874856,0.008576986343502454,0.7,0.08,0.020067031884005822,0.6499503254890442,0.7040471690472603,0.7136377967670425,1
240599,0,4,ok,65.14081093628042,2.3843035139143467,0.0003074514084991987,0.7,0.08,0.019587603377898007,0.6219254732131958,0.1727628295214152,0.17800123751581517,2
243426,0,4,ok,63.67737440287774,3.4010117165744305,4.64703767078566e-07,0.1,0.08,0.017829889980059622,0.1901833862066269,1.0075637784248694,0.998845276342518,1
243978,0,4,ok,66.33459345069997,3.3280505277216434,7.476068369883968e-08,0.2,0.36,0.02562795844525453,0.20961812138557434,3.4966851300412185,3.558166078577207,2
245291,0,4,ok,69.48810979608824,3.396275719627738,0.001983856903498059,0.4,0.25,0.02979401744245451,0.33671367168426514,0.16771367980282412,0.17494405843304495,2
248553,0,4,ok,65.04729379587488,3.372849155217409,0.003005089362797722,0.8,0.08,0.019415362025401794,0.6824992299079895,0.1865462316138401,0.19038175579988315,1
249616,0,4,no_axis,10.337694549475195,5.552289225161076,2.6330456276659107e-06,0.1,nan,nan,nan,nan,nan,0
249635,0,4,no_surface,29.555077832328546,3.0535223837941885,2.795232552145793e-07,0.1,nan,nan,nan,nan,nan,0
249837,0,4,ok,71.26675020893505,4.2901445385068655,9.902825769450894e-08,0.3,0.25,0.029474770014663955,0.3504723012447357,0.033824700929679756,0.04351267819515158,2
251490,0,5,ok,71.60017615799246,2.7021922785788774,1.05477149284322e-05,0.1,0.16,0.030776973501060644,0.11317338049411774,0.05459947129716337,0.05789136417624968,1
251695,0,5,ok,65.66117504555557,2.7036659624427557,6.656207562008022e-05,0.1,0.16,0.031080013193910547,0.24761299788951874,0.1560226582853429,0.16493240295540504,2
253386,0,5,ok,71.13978498672274,2.657975062727928,1.5217753540010463e-05,0.3,0.36,0.03394141833938603,0.293040931224823,0.08746003362766908,0.09781056914351742,1
254504,0,5,ok,68.8147221528679,2.7191946264356375,0.009900889138580391,0.4,0.36,0.03557776267062571,0.2696196734905243,0.4403850688430622,0.45368028815479167,1
256634,0,5,ok,64.21390124550626,2.6511264331638813,7.009774788978338e-06,0.6,0.08,0.02252718032394608,0.5556604266166687,0.08557520816777374,0.08716708991842702,1
257392,0,5,ok,67.97197961784796,2.7007496021687984,0.0018417217577067564,0.7,0.25,0.030539141811108977,0.601720929145813,0.3230762474518018,0.35658833189361283,1
258438,0,5,ok,66.76264834113083,2.6343301720917225,0.01224969801137716,0.7,0.16,0.025785202163244852,0.44202134013175964,0.4936069071386524,0.5021877455279298,3
258720,0,5,ok,66.29861971712806,2.6252186838537455,2.518873624259321e-05,0.8,0.16,0.02762849535457084,0.7216143012046814,0.11334102187305602,0.12735805705349,1
260386,0,5,ok,64.522689468092,2.62565596960485,1.0275711729210451e-05,0.9,0.36,0.02104024358537876,0.18034301698207855,8.942181464084866,9.00343112946167,2
261415,0,5,ok,68.19024044840813,3.829353703185916,4.135119285676792e-06,0.3,0.25,0.031287684778626916,0.3403429090976715,0.07559450956113119,0.09162720708075767,1
262157,0,5,ok,70.55105939456666,3.7663851007819176,3.965695706199662e-05,0.5,0.36,0.03072562514820712,0.4565260410308838,0.10700972226732541,0.12688624528239117,2
263196,0,5,ok,67.43340541793054,3.8455489091575146,0.0032777458794174784,0.7,0.25,0.02890012239497809,0.561233401298523,0.35394006963653124,0.36671703653583215,1
263830,0,5,ok,67.12731461700099,3.825964719057083,2.1128232920331665e-05,0.9,0.16,0.02719784563506506,0.7709574103355408,0.10149360967893602,0.12007404097647058,1
305054,0,1,ok,69.20492551514425,2.6323972195386887,6.115971180092583e-08,0.3,0.16,0.02547589893515451,0.2770001292228699,0.015948211147392057,0.020834211518256287,2
359777,0,2,ok,70.91006205453927,2.320262696594,0.00010541346504946487,0.2,0.25,0.030610211934442765,0.20363159477710724,0.0796332982696907,0.08355131698479175,2
362817,0,2,ok,67.51156501192447,2.312089094892144,6.6894385028798554e-06,0.5,0.16,0.024227183589623266,0.4359101951122284,0.08842286058974595,0.09021102085226929,1
368302,0,2,ok,74.63062572521898,2.8478006906807423,1.0016870258911224e-06,0.1,0.16,0.026943354944614528,0.11434944719076157,0.017534306829835204,0.018475561586552513,4
371140,0,2,ok,68.6309675014406,2.924663392826915,8.06662970195311e-07,0.4,0.08,0.020413373185139635,0.3575652241706848,0.029076072229823755,0.030724083958917965,2
393134,0,3,ok,69.918475954208,2.2330714017152786,1.8629420909201065e-06,0.4,0.25,0.027400967392100847,0.376554012298584,0.0437648496441545,0.051411279584439896,2
394842,0,3,ok,65.16056760195644,2.233458675444126,2.952953055470432e-05,0.6,0.08,0.01944546906286092,0.5179978609085083,0.1430013325112429,0.1432782672801355,1
395433,0,3,ok,66.03814587342328,2.2187077440321445,0.00045356774180094103,0.6,0.08,0.02081319019811963,0.527066171169281,0.1220618336837896,0.12681383540948457,2
398132,0,3,ok,60.69502756070187,2.1551979333162308,1.104605728041762e-05,0.9,0.02,0.011250792002954422,0.7119153738021851,0.08350829102956722,0.08492765530030803,1
