case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
96,0,8,3,no_axis,0.1155962375085221,nan,nan,3.6816923022270203
97,1,8,3,ok,3.9449653993647713,1.596168041229248,2.050975993816707,4.0674369521439075
98,2,8,3,no_surface,0.24859719302825975,nan,nan,3.974527832120657
99,3,8,3,no_surface,0.26014021051827907,nan,nan,3.9989117314107716
100,4,8,3,no_surface,0.24694839127312954,nan,nan,4.009495439007878
101,5,8,3,no_surface,0.2538855450158929,nan,nan,4.041693682316691
102,0,8,3,no_axis,0.11246515588482223,nan,nan,3.675585102289915
103,1,8,3,ok,3.6388680317135322,1.7042054902869,1.9371165037155151,4.067563567310572
104,2,8,3,no_axis,0.11344615270606138,nan,nan,3.602577470242977
105,3,8,3,no_axis,0.12124396162737541,nan,nan,3.6291114748455584
106,4,8,3,no_surface,0.3095341849341055,nan,nan,4.006816922221333
107,5,8,3,no_surface,0.2566366663736625,nan,nan,4.043181962799281
108,0,8,3,no_surface,0.2517152285658772,nan,nan,4.054361764341593
109,1,8,3,ok,14.419795434859617,1.796844244003296,1.9821761470745298,4.151733387261629
110,2,8,3,no_surface,0.2443477274451102,nan,nan,3.975015200674534
111,3,8,3,ok,7.729075489268805,2.3574289679527283,2.4340615169787485,4.076390011236072
112,4,8,3,no_surface,0.2833929435659299,nan,nan,4.00104759586975
113,5,8,3,no_surface,0.24308186242718374,nan,nan,4.042586700990796
114,0,8,3,no_axis,0.11510525585362891,nan,nan,3.6792168393731117
115,1,8,3,no_axis,0.11757002885338413,nan,nan,3.6180986016988754
116,2,8,3,no_surface,0.25363332330382915,nan,nan,3.97397705540061
117,3,8,3,no_axis,0.11968907491099995,nan,nan,3.62937978701666
118,4,8,3,no_surface,0.24609747195013065,nan,nan,4.0070007289759815
119,5,8,3,no_surface,0.2710223378171654,nan,nan,4.0407234681770205
120,0,8,3,no_surface,0.24853470192631977,nan,nan,4.054668940603733
121,1,8,3,flux_rejected,0.2493757569808829,nan,nan,4.017311166971922
122,2,8,3,no_axis,0.11550095476536784,nan,nan,3.602606661617756
123,3,8,3,no_axis,0.11719709115059183,nan,nan,3.6289329770952463
124,4,8,3,no_axis,0.11576321931273788,nan,nan,3.6326546468771994
125,5,8,3,ok,4.8161188158233,1.9295706748962402,2.1904193491145865,4.1170952268876135
126,0,8,3,no_axis,0.11429780241718124,nan,nan,3.6794604137539864
127,1,8,3,no_axis,0.11515664915570212,nan,nan,3.6183303967118263
128,2,8,3,no_surface,0.24850289417487292,nan,nan,3.9740449897944927
129,3,8,3,ok,13.183661689118782,2.063820654603965,2.2902798652648926,4.0767683195881546
130,4,8,3,no_axis,0.11838260875545666,nan,nan,3.632924186065793
131,5,8,3,no_surface,0.25933907792798333,nan,nan,4.037849891930819
132,0,8,3,ok,11.004238478752224,1.8697738083509332,1.9684857428073883,4.204988326877356
133,1,8,3,no_surface,0.23791465689289826,nan,nan,3.992923703044653
134,2,8,3,no_surface,0.26117716103430927,nan,nan,3.9748649708926678
135,3,8,3,no_surface,0.24424214050137116,nan,nan,4.008864808361977
136,4,8,3,no_axis,0.11970473556997517,nan,nan,3.632255227304995
137,5,8,3,no_surface,0.24115975548385557,nan,nan,4.04221325693652
138,0,8,3,no_axis,0.11013288577697114,nan,nan,3.67882813885808
139,1,8,3,no_axis,0.10786549228321068,nan,nan,3.6203305646777153
140,2,8,3,no_axis,0.11162089530302957,nan,nan,3.60312482342124
141,3,8,3,ok,5.5097701337791145,2.335839587873576,2.435242533683777,4.075934343971312
142,4,8,3,ok,9.14571332281016,1.722327321767807,1.7744321497574123,4.467424517963082
143,5,8,3,no_axis,0.11525688764890117,nan,nan,3.662711452692747
144,0,8,3,ok,13.400887705657386,2.0934376269578934,2.136616789162648,4.204264558851719
145,1,8,3,no_axis,0.11426969269996182,nan,nan,3.62056465446949
146,2,8,3,ok,7.273559448520828,2.0032242208679696,2.0504416078329086,4.12890225276351
147,3,8,3,no_axis,0.1105558021196752,nan,nan,3.6270110746845603
148,4,8,3,ok,20.031314112282388,1.7279053330421448,1.9128834728428534,4.119230762124062
149,5,8,3,ok,4.329509874120713,1.8655829429626465,2.269632589797126,4.112899114843458
150,0,8,3,no_surface,0.26089740816113227,nan,nan,4.056693900376558
151,1,8,3,ok,19.990778763646933,1.7355409608738441,1.810341238975525,4.148591101169586
152,2,8,3,no_surface,0.2650357624808421,nan,nan,3.9753864631056786
153,3,8,3,no_axis,0.10899640264868267,nan,nan,3.6278172973543406
154,4,8,3,no_axis,0.11369533189470866,nan,nan,3.628635308239609
155,5,8,3,no_surface,0.24706158921884702,nan,nan,4.0356144909746945
156,0,8,3,no_surface,0.25826150808053194,nan,nan,4.05487410351634
157,1,8,3,ok,24.902696750621633,1.943990707397461,2.212498534860697,4.1322192922234535
158,2,8,3,no_surface,0.25294782121069276,nan,nan,3.97475928068161
159,3,8,3,ok,10.80551310451195,2.340085032128667,2.516133487224579,4.076812496874481
160,4,8,3,no_axis,0.11405000215270862,nan,nan,3.6331543140113354
161,5,8,3,no_axis,0.11836868956938958,nan,nan,3.661452583037317
162,0,8,3,no_surface,0.2440805876759146,nan,nan,4.0564838871359825
163,1,8,3,no_axis,0.11555677206327952,nan,nan,3.620681419968605
164,2,8,3,no_surface,0.2581177187938368,nan,nan,3.97477213293314
165,3,8,3,no_surface,0.28762684081243617,nan,nan,4.000503273215145
166,4,8,3,no_surface,0.25481695911499774,nan,nan,4.003118910826743
167,5,8,3,no_surface,0.2637195716900637,nan,nan,4.037046129349619
168,0,8,3,ok,33.88494562840436,1.4891646057367325,1.5204150483964556,4.207303360104561
169,1,8,3,no_surface,0.2471577625799499,nan,nan,3.9932910166680813
170,2,8,3,no_surface,0.2495146805215451,nan,nan,3.975002806633711
171,3,8,3,no_surface,0.254695204377029,nan,nan,3.9964441931806505
172,4,8,3,no_axis,0.11372757114971664,nan,nan,3.632710298988968
173,5,8,3,no_surface,0.24862312465007783,nan,nan,4.038405218627304
174,0,8,3,no_axis,0.11758760936292939,nan,nan,3.6798776164650917
175,1,8,3,no_surface,0.27663199455074095,nan,nan,3.9964743591845036
