trajectory_id,case_id,worker_index,nfp,n_base_coils,initial_score,final_score,best_score,best_iteration,best_gain,trajectory_wall_s
axisv3_case_02923,2923,5,8,2,5.957599213522041,66.00670526519409,66.2931386456463,62,60.33553943212425,1031.1619545738213
axisv3_case_02942,2942,2,8,1,5.416796513810763,25.36514958249375,25.3651495824945,31,19.948353068683737,531.5167780406773
axisv3_case_02989,2989,1,8,4,11.146515787013431,64.99349953592227,66.78078112253391,37,55.63426533552048,1697.8548770807683
axisv3_case_02993,2993,2,7,1,4.604649321566356,13.311977401153053,13.311977401153234,115,8.707328079586878,503.36433424800634
axisv3_case_03046,3046,1,8,1,9.60113638075783,64.15023680748136,64.15023680748136,200,54.549100426723534,684.8935594633222
axisv3_case_03119,3119,3,8,4,23.949209785158825,65.24838044132258,66.11003723785316,33,42.160827452694335,1673.2749102637172
axisv3_case_03122,3122,3,6,1,5.254636501747236,33.08381036685861,33.083810366858785,118,27.82917386511155,518.1489719413221
axisv3_case_03123,3123,4,7,1,3.4159759588392236,58.779772785737734,62.03729502500498,126,58.62131906616575,636.9451251840219
axisv3_case_03164,3164,0,8,3,10.235701828629201,65.15781197310213,65.52580978673346,100,55.29010795810426,1341.5298202261329
axisv3_case_03202,3202,4,8,1,6.489190671767733,61.32214529924821,61.32841743311994,67,54.83922676135221,582.6355927218683
axisv3_case_03223,3223,1,8,4,11.377503788156675,65.58309971023377,65.69301364754526,155,54.315509859388584,1658.0190509669483
axisv3_case_03233,3233,2,6,2,10.003810990838215,66.42571278870679,66.47020651466323,199,56.466395523825014,871.9432153701782
axisv3_case_03242,3242,1,8,3,6.571061193939371,65.42726628394222,66.3928081368536,194,59.82174694291423,1338.484583351761
axisv3_case_03268,3268,2,8,3,22.24669156954154,65.28470853614598,66.46599066100096,154,44.21929909145942,1341.819278717041
axisv3_case_03305,3305,4,7,1,7.530559268801625,11.39812216198262,11.398122161982707,152,3.8675628931810824,563.8236924340017
axisv3_case_03312,3312,5,7,2,3.5411168492085907,9.545028771456481,9.545028771456495,75,6.003911922247905,782.8903124346398
axisv3_case_03403,3403,4,6,4,6.229137617043586,64.02518980674809,65.98701049825087,138,59.757872881207284,1349.653210402932
axisv3_case_03424,3424,5,8,3,38.01872856806139,65.79739201728157,66.2775587395373,44,28.258830171475907,1328.0065358337015
axisv3_case_03462,3462,4,8,1,7.895779995710594,60.39977707879981,61.81627210535004,159,53.92049210963944,636.8995889266953
axisv3_case_03509,3509,3,8,4,5.01956373820268,64.59450136590952,65.33955702298934,10,60.31999328478666,1716.3765564523637
axisv3_case_03560,3560,4,7,4,5.536640659956454,65.29910324077858,65.89343264029576,192,60.3567919803393,1560.628878954798
