best_global_score,best_global_status,best_iteration,best_online_score,final_online_score,initial_online_score,n_base_coils,nfp,optimization_wall_s,screening_wall_s,selected_global_score,trajectory_id,trajectory_wall_s
90.93035820007455,ok,200,90.94225162211856,90.94225162211856,77.91799946026524,2,4,939.3251007664949,83.43828562274575,77.89537503117403,p107_37034_0_000011,1022.7642971482128
92.64896279679097,ok,200,92.66193047278489,92.66193047278489,78.2035809266821,3,4,1076.039767794311,117.6430960316211,78.23218830061549,p107_37034_0_000012,1193.683793772012
84.83762012164,ok,30,84.8860308774941,68.5101577446078,68.84750897624845,4,3,1582.097615947947,102.90467310324311,68.92600886614885,p107_37034_0_000013,1685.0036430303007
91.33234992003126,ok,200,91.35429538275616,91.35429538275616,73.82734097461771,5,4,1429.6153679024428,149.08676419779658,73.89762380298716,p107_37034_0_000014,1578.7029729932547
91.91736953918908,ok,127,91.90771801679526,91.72737589751283,78.5194328754351,4,5,1411.1022951994091,138.21029094979167,78.50114270516434,p107_37034_0_000015,1549.3133978322148
90.893065154484,ok,199,90.95258540902157,90.93617428537556,72.18375357759172,5,4,1397.8934670388699,141.9468944221735,72.23475209927778,p107_37034_0_000016,1539.8412643000484
90.9362125072761,ok,199,90.94316837652381,90.8164016385323,84.321662191692,3,4,1087.685143435374,105.83658931590617,84.22121982459639,p107_37034_0_000017,1193.5226069074124
92.60760485653402,ok,156,92.61780151747327,92.48137016260178,82.94492003402631,3,4,1088.1229748521,95.69389036484063,82.94717159358757,p107_37034_0_000018,1183.8176607768983
91.18234253605328,ok,200,91.22893708651935,91.22893708651935,79.86433519708584,2,4,912.7341819815338,81.26950087584555,79.82783977055925,p107_37034_0_000019,994.0045337099582
88.9062004903843,ok,200,89.03931101214945,89.03931101214945,77.06548219417529,2,5,989.685200965032,91.1694436520338,75.28308476601536,p107_37034_0_000020,1080.8554762396961
92.00938751415045,ok,188,92.01497282377863,91.9927993896818,72.15877789748062,2,5,984.485427075997,99.8168622776866,72.11593453182203,p107_37034_0_000021,1084.3031932283193
90.2420351290834,ok,199,90.26294578378125,90.20153845932418,75.23754310594083,4,4,1257.0230532679707,123.35419186577201,75.26610767435577,p107_37034_0_000022,1380.3780769724399
82.27181651266879,ok,31,82.26926541777273,67.91910672498672,69.86926419886355,5,3,1166.2580008096993,129.38670804724097,69.85562108792368,p107_37034_0_000023,1295.6455959007144
80.68881307424141,ok,5,80.68146941995462,66.53067864798585,75.51824077701569,5,3,1179.8885198961943,136.73022692091763,75.51288530756905,p107_37034_0_000024,1316.619584703818
76.57835831619367,ok,1,76.59013764011777,72.6881695001191,75.79043193562867,4,3,914.7119933478534,105.7644858546555,75.802909662925,p107_37034_0_000025,1020.4773164037615
93.02998204739716,ok,178,93.03147980051841,91.58476319619186,78.09653225798378,4,4,1255.3894924949855,118.07197051122785,78.11267385282686,p107_37034_0_000026,1373.462295230478
83.56166599437162,ok,17,83.55404679189427,81.07501331227442,69.82625193259788,5,3,1047.6561906449497,132.47540996968746,69.80411393222022,p107_37034_0_000027,1180.1619581710547
92.09501859333831,ok,196,92.12024112702524,91.89887243132736,80.38668301743232,4,4,1258.0562561452389,136.91606578603387,80.41227235087098,p107_37034_0_000028,1394.9736038446426
85.35861313321689,ok,26,85.49781466319712,81.96487042519583,79.71025860974281,4,4,1117.0783980507404,155.348907597363,79.6843588659959,p107_37034_0_000029,1272.429049788043
88.70650694334643,ok,196,88.7358503318523,88.10048119387625,73.13263911794712,2,5,1082.4109633378685,108.65987640619278,73.15068672145898,p107_37034_0_000030,1191.139239858836
92.62556088091269,ok,191,92.64659199021958,92.35760065122793,76.89086376913689,3,5,1277.55074287951,120.52583090774715,76.90461814508897,p107_37034_0_000031,1398.0778214167804
92.9271956484909,ok,198,92.94660980990311,92.91002027052046,76.47558177939321,2,5,1049.3561327792704,121.22165775485337,76.50501765037335,p107_37034_0_000032,1170.5790656134486
85.17041270587771,ok,89,85.21256763120901,81.73496449897807,73.16663878104238,2,7,1242.323869470507,135.73916421458125,73.1536291343334,p107_37034_0_000033,1378.0645895041525
92.95582577934812,ok,192,92.96393719241927,92.7504850008232,74.3458664376249,4,4,1306.1718282531947,143.91738579049706,74.36271711951973,p107_37034_0_000034,1450.0905358362943
93.26170662238832,ok,195,93.27415429206529,93.13544785367787,81.32270347624313,3,5,1230.3383040893823,109.35091647319496,81.18767344300873,p107_37034_0_000035,1339.690629368648
90.7475175677195,ok,200,90.74262636275603,90.74262636275603,75.9722972690666,4,4,1314.3263960052282,137.70015669241548,75.88896622600438,p107_37034_0_000036,1452.0325476061553
90.77106547106324,ok,200,90.8370450053372,90.8370450053372,81.18805173041274,4,5,1522.4423126671463,138.98719948902726,81.095357711185,p107_37034_0_000037,1661.4795828722417
90.75804941508589,ok,144,90.8155026075867,90.41107470927986,74.76052284431378,4,3,1131.354392176494,155.785336766392,74.65632548256698,p107_37034_0_000038,1287.1537360120565
91.55314918573416,ok,194,91.55414964457026,91.51535692975597,79.83948622317078,3,5,1257.3024537395686,125.02076794020832,79.81556787123398,p107_37034_0_000039,1382.3351982478052
92.64482448772199,ok,183,92.64931758562903,92.60103144023073,73.45754670090385,3,6,1476.9567599371076,152.9318107087165,73.46923175745009,p107_37034_0_000040,1629.933827765286
86.42514350353844,ok,110,86.44174412000656,84.71416548046332,68.46156563015303,3,3,1036.3560223542154,121.0905979834497,68.43533089267103,p107_37034_0_000041,1157.4491823278368
84.62731087986926,ok,196,84.66200664926905,84.12984061494055,75.79008129492281,2,6,1122.2203461267054,109.96417832374573,75.7153488701022,p107_37034_0_000042,1232.204509491101
